PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SALARY,Player_Comp_Share,Season
a'ja wilson,40,31.2,23.4,8.3,16.5,50.5,0.6,1.5,42.4,6.2,7.3,85.5,2.3,7.9,10.2,3.1,1.6,2.3,2.2,29.2,200000,0.002150537634,2025
napheesa collier,33,32.3,22.9,8.3,15.7,53.1,1.5,3.8,40.3,4.7,5.2,90.6,1.9,5.4,7.3,3.2,1.6,1.5,2.1,26.5,214284,0.002304129032,2025
kelsey mitchell,44,31.4,20.2,7.2,15.7,45.6,2.5,6.4,39.4,3.4,4.3,78.4,0.4,1.3,1.8,3.4,0.9,0.2,1.8,15.2,269244,0.002895096774,2025
kelsey plum,43,35.1,19.5,6.1,14.4,42.2,2.3,6.5,35.5,5.1,5.7,89.3,0.2,2.8,3.1,5.7,1.2,0.1,3,17.7,202000,0.002172043011,2025
paige bueckers,36,33.3,19.2,7.2,15.1,47.7,1.1,3.3,33.1,3.8,4.2,88.8,0.7,3.3,3.9,5.4,1.6,0.5,2,20.3,78831,0.0008476451613,2025
dearica hamby,44,31.2,18.4,7.4,12.9,57.2,0.3,1.2,27.8,3.4,5.4,62.7,2.6,5.4,7.9,3.3,1.6,0.5,2.7,21.5,202000,0.002172043011,2025
allisha gray,42,34.5,18.4,5.9,13,45.1,2.3,6.1,38.4,4.4,5.5,79.9,0.9,4.5,5.3,3.5,1.1,0.4,1.8,18.6,190000,0.002043010753,2025
breanna stewart,31,30.6,18.3,6.1,13.2,46.1,0.7,2.8,24.1,5.5,6.5,83.7,1,5.5,6.5,3.5,1.4,1.4,1.9,20.9,222400,0.002391397849,2025
nneka ogwumike,44,30.9,18.3,7.3,14,51.9,1.5,4.1,36.7,2.2,2.7,82.2,1.3,5.7,7,2.3,1.1,0.4,1.9,19.9,195000,0.002096774194,2025
sabrina ionescu,38,31.4,18.2,6.1,15.1,40.1,2.1,7.1,29.9,4,4.3,93.3,0.8,4.1,4.9,5.7,1.3,0.4,2.6,18.5,222060,0.002387741935,2025
rhyne howard,33,34.9,17.5,5.7,15.1,37.5,3.1,9.6,32.2,3.1,3.6,85.6,0.9,3.5,4.5,4.6,1.5,0.8,1.7,17.3,91981,0.0009890430108,2025
jackie young,44,30.4,16.5,5.9,12.4,47.5,1.8,5.1,35.9,2.9,3.2,89.4,1.2,3.3,4.5,5.1,1.3,0.4,2.2,18.7,169950,0.001827419355,2025
satou sabally,39,26.6,16.3,5.3,13.2,40.4,1.7,5.4,32.1,3.9,4.7,82.7,1.4,4.5,5.9,2.5,1.3,0.3,2,15.7,215000,0.002311827957,2025
tina charles,43,28.4,16.3,6,13.8,43.8,0.3,1.1,26.1,3.9,4.6,85.7,1.4,4.3,5.8,1.7,0.8,0.4,1.9,14.7,170000,0.001827956989,2025
skylar diggins,43,31.2,15.5,5.3,12.5,42.3,1.4,4,36.5,3.5,4.4,78.8,0.6,1.9,2.5,6,1.2,0.8,2.1,15.8,214466,0.002306086022,2025
alyssa thomas,39,31.3,15.4,6.2,11.6,53.2,0,0.2,0,3,4.3,69.2,1.6,7.2,8.8,9.2,1.6,0.4,3.5,25.1,215000,0.002311827957,2025
aliyah boston,44,30.2,15,6.2,11.5,53.8,0.1,0.7,20.7,2.5,3.3,76.2,2.4,5.8,8.2,3.7,1.2,0.9,1.8,21.1,83371,0.0008964623656,2025
sonia citron,44,32.2,14.9,5.1,10.8,47,1.8,4.1,44.5,3,3.4,87.2,0.7,3.3,4,2.4,1.3,0.4,2.1,14.7,78831,0.0008476451613,2025
rickea jackson,38,30.9,14.7,5.4,12.7,42.4,1.7,4.9,34.8,2.2,2.6,84.7,1,2.2,3.2,1.7,0.6,0.4,2.1,10.8,78066,0.0008394193548,2025
marina mabrey,35,31.5,14.4,5.1,13.9,36.7,1.9,7,27,2.3,2.6,87,0.5,3.7,4.2,4,0.7,0.3,2.8,11.6,210000,0.002258064516,2025
kayla mcbride,39,31.3,14.2,4.6,11,41.6,2.6,6.7,39.5,2.4,2.7,90.5,0.3,2,2.3,3.5,1.3,0.1,1.7,12.9,205000,0.002204301075,2025
brittney sykes,39,30.6,14.1,4.5,11.7,38.1,0.8,2.6,30.4,4.4,5.6,78.1,0.5,2.6,3.2,4,1.2,0.4,2.5,11.8,195000,0.002096774194,2025
jonquel jones,31,26.8,13.6,4.8,9.9,49,1.7,4,42.4,2.3,2.9,76.9,1.5,6.6,8.1,2.7,0.5,1.1,2.1,18.2,209000,0.002247311828,2025
courtney williams,44,28.6,13.6,5.6,13.2,42.8,1.3,3.4,38.9,1,1.2,84.9,0.5,4.4,4.9,6.2,1.3,0.3,2.3,16.2,180000,0.001935483871,2025
kamilla cardoso,40,27.6,13.6,5.6,10.6,52.8,0,0.1,50,2.4,3.3,72.2,3,5.6,8.5,2.5,0.4,1.2,2.4,17.8,78066,0.0008394193548,2025
kiki iriafen,44,26.9,13.3,5,10.3,48.8,0,0.3,18.2,3.1,4,78.4,2.6,6,8.5,1.6,0.6,0.2,2.2,15.8,78831,0.0008476451613,2025
ariel atkins,34,28.5,13.1,4.8,10.7,44.4,1.3,3.5,36.1,2.4,2.7,86,0.7,2.7,3.4,3.6,1.6,0.7,2.5,13.5,223000,0.002397849462,2025
brionna jones,44,26.6,12.8,5.1,9.7,52.7,0.3,1,26.1,2.3,3,77.3,3.1,4.2,7.3,2.2,1.1,0.8,1.5,17.4,214466,0.002306086022,2025
azurá stevens,44,28.4,12.8,4.6,9.7,47.8,1.7,4.4,38.1,1.8,2.3,79,1.7,6.3,8,2.1,1.2,1.1,1.5,18.2,195000,0.002096774194,2025
shakira austin,38,23,12.7,5,10.8,46.5,0.1,0.4,13.3,2.6,3.8,66.4,1.5,4.9,6.4,1.8,1.1,1.1,2.4,13.5,91981,0.0009890430108,2025
veronica burton,44,29.4,11.9,3.4,8.8,38.7,1.4,4,34.5,3.8,4.3,87.8,1.1,3.2,4.4,6,1.1,0.6,2.1,16,103831,0.001116462366,2025
gabby williams,44,31.6,11.6,4.5,10.7,42.2,1.1,3.7,30.5,1.5,1.7,85.3,0.5,3.8,4.3,4.2,2.3,0.5,1.9,14.5,225000,0.002419354839,2025
natasha howard,44,24.1,11.4,4.5,8.2,55.2,0.1,0.8,18.2,2.1,3,71.2,2,4.6,6.6,1.5,1.2,0.6,1.9,14.7,214466,0.002306086022,2025
janelle salaün,36,27,11.3,4.1,10.1,40.6,1.8,4.8,36.6,1.4,1.7,80.6,0.9,4.2,5.1,1.2,0.6,0.1,1.5,10.5,66079,0.0007105268817,2025
chelsea gray,44,31.1,11.2,3.8,8.8,43.9,1.4,3.9,36.8,2.1,2.4,88.5,0.6,3.4,3.9,5.4,1.4,0.6,2.8,14.6,196267,0.002110397849,2025
jewell loyd,44,28.3,11.2,3.8,9.7,38.9,2.3,6,38.2,1.3,1.6,83.1,1.1,2.1,3.2,1.8,1.2,0.3,1.2,10.3,249032,0.002677763441,2025
erica wheeler,44,25.6,10.3,3.8,9.5,40,1.7,4.6,37.3,1,1.1,86,0.4,2.3,2.7,3.3,1.3,0.2,1.5,10.4,78831,0.0008476451613,2025
natasha cloud,41,29,10.1,3.7,8.5,43.3,1.3,3.8,33.8,1.5,1.7,87,0.3,3.3,3.7,5.1,1.2,0.3,1.9,13.5,200000,0.002150537634,2025
dewanna bonner,33,23.6,9.8,3.2,7.8,40.9,1.2,3.6,33.3,2.3,2.6,87.2,0.9,3.3,4.2,1.2,0.8,0.3,0.8,10.5,72269,0.0007770860215,2025
dewanna bonner,33,23.6,9.8,3.2,7.8,40.9,1.2,3.6,33.3,2.3,2.6,87.2,0.9,3.3,4.2,1.2,0.8,0.3,0.8,10.5,63721,0.000685172043,2025
brittney griner,39,20.8,9.8,4,7.7,51.8,0.1,0.5,26.3,1.7,2.2,76.5,0.9,4.3,5.2,0.8,0.1,1.2,1.5,11.4,214466,0.002306086022,2025
dijonai carrington,31,21.9,9.8,3.5,8.9,38.6,0.7,2.3,31.9,2.1,2.6,80.5,1.5,2.5,4,1.5,1.1,0.4,1.9,8.9,200000,0.002150537634,2025
alanna smith,42,26.5,9.6,3.8,7.9,48.5,1.3,3.8,32.9,0.7,1.5,47.7,1.5,3.5,5.1,2.9,1.3,1.9,1.5,14.4,150000,0.001612903226,2025
sami whitcomb,43,23.9,9.1,3,7.8,38.5,2,5.5,36.1,1.1,1.3,85.2,0.4,2.3,2.6,2.5,0.8,0.2,1.6,8.6,125000,0.001344086022,2025
natisha hiedeman,44,18.9,9.1,3.4,7,49.2,1,2.8,37.1,1.2,1.5,76.1,0.3,1.6,1.9,2.8,0.7,0.2,1.2,9.5,135000,0.001451612903,2025
rachel banham,44,24.6,9,2.9,7.7,38.3,2,5.5,35.7,1.2,1.3,88.1,0.1,1.5,1.7,2.7,0.6,0.3,1.6,7.7,95000,0.001021505376,2025
bria hartley,38,22.8,8.9,2.8,7.7,36.2,1.4,3.9,36.7,1.9,2.4,77.2,0.3,1.7,2,3.1,0.8,0,1.8,7.4,78831,0.0008476451613,2025
saniya rivers,42,26.1,8.8,3.4,8.3,40.7,1,3,34.1,1,1.4,74.6,0.7,2.1,2.8,2.7,1.5,0.9,1.5,10,75643,0.0008133655914,2025
leonie fiebich,37,28.1,8.7,2.9,6,48.9,1.4,3.2,42.5,1.5,1.7,87.1,0.6,2.9,3.5,1.7,0.9,0.4,1.2,10.8,68595,0.0007375806452,2025
