PLAYER,Season,Tier,Performance_Index,SALARY,New_Salary,Salary_Diff,Percent_Diff,Underpaid
a'ja wilson,2024,1,100.0,227303,341113.53,113810.53,50.07,True
jewell loyd,2023,1,93.74,234936,283459.77,48523.77,20.65,True
arike ogunbowale,2024,1,92.65,241984,316041.69,74057.69,30.6,True
a'ja wilson,2025,1,91.55,200000,369489.65,169489.65,84.74,True
breanna stewart,2023,1,90.24,180000,272876.14,92876.14,51.6,True
tina charles,2021,1,90.1,175000,162865.85,-12134.15,-6.93,False
napheesa collier,2025,1,89.69,214284,361982.81,147698.81,68.93,True
napheesa collier,2023,1,87.66,202154,265074.49,62920.49,31.13,True
arike ogunbowale,2023,1,87.62,234936,264953.54,30017.54,12.78,True
a'ja wilson,2023,1,87.34,202154,264106.85,61952.85,30.65,True
breanna stewart,2021,1,86.14,190550,155707.71,-34842.29,-18.29,False
caitlin clark,2024,1,85.71,76535,292368.41,215833.41,282.01,True
napheesa collier,2024,1,85.39,215469,291276.85,75807.85,35.18,True
brittney griner,2021,1,85.19,221450,153990.48,-67459.52,-30.46,False
breanna stewart,2024,1,85.16,205000,290492.29,85492.29,41.7,True
jewell loyd,2024,1,84.85,241984,289434.83,47450.83,19.61,True
breanna stewart,2022,1,84.7,228094,192732.81,-35361.19,-15.5,False
a'ja wilson,2021,1,83.4,70040,150754.85,80714.85,115.24,True
nneka ogwumike,2023,1,83.22,199530,251648.41,52118.41,26.12,True
skylar diggins,2022,1,83.05,227900,188978.27,-38921.73,-17.08,False
kahleah copper,2024,1,82.84,241984,282578.45,40594.45,16.78,True
kelsey plum,2025,1,82.8,202000,334175.24,132175.24,65.43,True
paige bueckers,2025,1,82.65,78831,333569.85,254738.85,323.15,True
sabrina ionescu,2025,1,82.46,222060,332803.02,110743.02,49.87,True
satou sabally,2023,1,82.32,86701,248926.9,162225.9,187.11,True
sabrina ionescu,2022,1,82.16,76297,186953.1,110656.1,145.03,True
a'ja wilson,2022,1,81.5,196267,185451.29,-10815.71,-5.51,False
jonquel jones,2021,1,81.46,190550,147248.08,-43301.92,-22.72,False
sabrina ionescu,2024,1,80.72,202000,275346.84,73346.84,36.31,True
breanna stewart,2025,1,79.36,222400,320291.63,97891.63,44.02,True
kelsey plum,2023,1,79.24,200000,239613.31,39613.31,19.81,True
arike ogunbowale,2021,1,79.23,58710,143217.11,84507.11,143.94,True
kelsey plum,2022,1,79.22,180250,180263.2,13.2,0.01,True
jewell loyd,2021,1,79.01,121500,142819.43,21319.43,17.55,True
napheesa collier,2021,1,78.83,58710,142494.06,83784.06,142.71,True
kelsey mitchell,2021,1,78.53,70040,141951.78,71911.78,102.67,True
rhyne howard,2025,1,78.51,91981,316861.09,224880.09,244.49,True
nneka ogwumike,2024,1,78.15,204500,266580.23,62080.23,30.36,True
arike ogunbowale,2022,1,78.15,72141,177828.44,105687.44,146.5,True
nneka ogwumike,2022,1,77.83,196267,177100.29,-19166.71,-9.77,False
nneka ogwumike,2025,1,77.44,195000,312542.64,117542.64,60.28,True
kelsey mitchell,2022,1,77.34,200000,175985.31,-24014.69,-12.01,False
natasha howard,2023,1,77.33,227900,233837.67,5937.67,2.61,True
kelsey plum,2024,1,77.2,200000,263339.65,63339.65,31.67,True
dewanna bonner,2023,1,76.83,234350,232325.73,-2024.27,-0.86,False
dewanna bonner,2021,1,76.83,221450,138878.84,-82571.16,-37.29,False
allisha gray,2025,1,76.83,190000,310080.72,120080.72,63.2,True
kelsey mitchell,2024,1,76.64,212000,261429.41,49429.41,23.32,True
kelsey mitchell,2025,1,76.49,269244,308708.5,39464.5,14.66,True
kahleah copper,2023,1,75.97,205000,229725.18,24725.18,12.06,True
diana taurasi,2022,1,75.96,228094,172845.15,-55248.85,-24.22,False
rhyne howard,2023,1,75.66,73584,228787.77,155203.77,210.92,True
sabrina ionescu,2023,1,75.64,86701,228727.3,142026.3,163.81,True
jackie young,2025,2,75.5,169950,304712.93,134762.93,79.3,True
tina charles,2025,2,75.43,170000,304430.41,134430.41,79.08,True
skylar diggins,2021,2,75.4,221450,136293.95,-85156.05,-38.45,False
allisha gray,2023,2,75.35,194600,227850.37,33250.37,17.09,True
kelsey mitchell,2023,2,75.35,206000,227850.37,21850.37,10.61,True
rhyne howard,2024,2,75.32,80943,256926.71,175983.71,217.42,True
jackie young,2023,2,75.26,165000,227578.22,62578.22,37.93,True
jewell loyd,2022,2,75.14,228094,170979.26,-57114.74,-25.04,False
alyssa thomas,2023,2,75.02,212000,226852.48,14852.48,7.01,True
betnijah laney-hamilton,2021,2,75.0,209550,135570.91,-73979.09,-35.3,False
chelsea gray,2023,2,74.82,196267,226247.7,29980.7,15.28,True
jackie young,2024,2,74.45,169950,253959.03,84009.03,49.43,True
skylar diggins,2024,2,74.2,208219,253106.24,44887.24,21.56,True
jackie young,2022,2,73.79,72141,167907.37,95766.37,132.75,True
brittney griner,2024,2,73.73,150000,251503.01,101503.01,67.67,True
brittney griner,2023,2,73.56,165100,222437.6,57337.6,34.73,True
marina mabrey,2025,2,73.52,210000,296721.78,86721.78,41.3,True
dewanna bonner,2024,2,73.31,209593,250070.33,40477.33,19.31,True
rhyne howard,2022,2,73.17,72141,166496.57,94355.57,130.79,True
brittney sykes,2023,2,72.82,190000,220199.92,30199.92,15.89,True
sylvia fowles,2021,2,72.7,117894,131413.4,13519.4,11.47,True
tina charles,2024,2,72.35,130000,246795.64,116795.64,89.84,True
satou sabally,2025,2,72.33,215000,291919.02,76919.02,35.78,True
sonia citron,2025,2,72.24,78831,291555.79,212724.79,269.85,True
ariel atkins,2021,2,72.14,70040,130401.14,60361.14,86.18,True
dearica hamby,2024,2,71.95,189000,245431.19,56431.19,29.86,True
tina charles,2022,2,71.76,34285,163288.15,129003.15,376.27,True
tina charles,2022,2,71.76,56673,163288.15,106615.15,188.12,True
cheyenne parker-tyus,2023,2,71.47,216100,216117.66,17.66,0.01,True
chelsea gray,2022,2,71.47,206267,162628.26,-43638.74,-21.16,False
kayla mcbride,2024,2,71.46,208000,243759.73,35759.73,17.19,True
kelsey plum,2021,2,71.37,175000,129009.28,-45990.72,-26.28,False
natasha cloud,2023,2,71.34,190000,215724.55,25724.55,13.54,True
jordin canada,2023,2,71.32,74305,215664.08,141359.08,190.24,True
courtney williams,2021,2,71.02,190550,128376.61,-62173.39,-32.63,False
dearica hamby,2025,2,71.0,202000,286551.23,84551.23,41.86,True
angel reese,2024,2,70.82,73439,241576.6,168137.6,228.95,True
allisha gray,2024,2,70.81,185000,241542.49,56542.49,30.56,True
ariel atkins,2024,2,70.76,200000,241371.94,41371.94,20.69,True
kayla mcbride,2021,2,70.71,190550,127816.25,-62733.75,-32.92,False
rickea jackson,2025,2,70.66,78066,285179.01,207113.01,265.31,True
kayla mcbride,2025,2,70.65,205000,285138.65,80138.65,39.09,True
kayla mcbride,2023,2,70.52,201984,213244.96,11260.96,5.58,True
courtney williams,2025,2,70.37,180000,284008.59,104008.59,57.78,True
marina mabrey,2023,2,70.33,202000,212670.42,10670.42,5.28,True
diana taurasi,2024,2,70.26,234936,239666.37,4730.37,2.01,True
chennedy carter,2024,2,70.24,76535,239598.15,163063.15,213.06,True
alyssa thomas,2025,2,70.23,215000,283443.56,68443.56,31.83,True
aliyah boston,2025,2,70.11,83371,282959.25,199588.25,239.4,True
skylar diggins,2025,2,70.08,214466,282838.17,68372.17,31.88,True
brionna jones,2021,2,69.85,120000,126261.71,6261.71,5.22,True
kayla mcbride,2022,2,69.69,196267,158577.91,-37689.09,-19.2,False
kahleah copper,2021,3,69.61,165000,125827.88,-39172.12,-23.74,False
ariel atkins,2022,3,69.53,170000,158213.84,-11786.16,-6.93,False
sabrina ionescu,2021,3,69.51,69360,125647.12,56287.12,81.15,True
aerial powers,2022,3,69.41,196267,157940.78,-38326.22,-19.53,False
kahleah copper,2022,3,69.25,200000,157576.71,-42423.29,-21.21,False
candace parker,2022,3,69.23,195000,157531.2,-37468.8,-19.21,False
ezi magbegor,2024,3,69.23,155000,236152.9,81152.9,52.36,True
erica wheeler,2021,3,69.02,180000,124761.39,-55238.61,-30.69,False
jonquel jones,2024,3,68.97,190000,235266.0,45266.0,23.82,True
natasha howard,2022,3,68.75,221450,156438.97,-65011.03,-29.36,False
jonquel jones,2022,3,68.71,205000,156347.95,-48652.05,-23.73,False
brittney sykes,2025,3,68.44,195000,276219.24,81219.24,41.65,True
ariel atkins,2025,3,68.22,223000,275331.34,52331.34,23.47,True
aliyah boston,2023,3,68.18,74305,206169.05,131864.05,177.46,True
allie quigley,2021,3,68.07,194000,123044.16,-70955.84,-36.58,False
emma meesseman,2022,3,68.03,185000,154800.62,-30199.38,-16.32,False
aliyah boston,2024,3,67.99,75792,231923.09,156131.09,206.0,True
