,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
1,Lebron James,CLE,23,75,45,30,40.4,30,10.6,21.9,48.4,1.5,4.8,31.5,7.3,10.3,71.2,1.8,6.1,7.9,7.2,3.4,1.8,1.1,2.2,55.6,31,7,1.8,13041250,0.00260825
2,Kobe Bryant,LAL,29,82,57,25,38.9,28.3,9.5,20.6,45.9,1.8,5.1,36.1,7.6,9,84,1.1,5.2,6.3,5.4,3.1,1.8,0.5,2.8,47.8,20,0,7.3,19490625,0.003898125
3,Allen Iverson,DEN,33,82,50,32,41.8,26.4,8.7,19,45.8,1.2,3.4,34.5,7.9,9.7,80.9,0.6,2.4,3,7.1,3,2,0.1,1.3,44,15,0,4.4,19012500,0.0038025
4,Carmelo Anthony,DEN,24,77,47,30,36.4,25.7,9.5,19.2,49.2,0.8,2.1,35.4,6,7.7,78.6,2.3,5.1,7.4,3.4,3.3,1.3,0.5,3.3,41.7,22,0,2.1,13041250,0.00260825
5,Amar'E Stoudemire,PHX,25,79,53,26,33.9,25.2,9,15.3,59,0.1,0.4,16.1,7,8.7,80.5,2.3,6.8,9.1,1.5,2.2,0.8,2.1,3.7,44.8,36,0,5.3,13762775,0.002752555
6,Dwyane Wade,MIA,26,51,10,41,38.3,24.6,8.6,18.4,46.9,0.4,1.5,28.6,6.9,9.2,75.8,0.9,3.3,4.2,6.9,4.4,1.7,0.7,2.7,42.9,9,0,-5,13041250,0.00260825
7,Kevin Martin,SAC,25,61,30,31,36.3,23.7,6.8,15,45.6,1.8,4.4,40.2,8.2,9.5,86.9,0.8,3.7,4.5,2.1,2.1,1,0.1,2.5,33.3,2,0,-0.5,1808121,0.0003616242
8,Dirk Nowitzki,DAL,30,77,49,28,36,23.6,8.2,17.1,47.9,1,2.9,35.9,6.2,7.1,87.9,1.2,7.3,8.6,3.5,2.1,0.7,0.9,2.6,41.7,25,1,6.3,16360094,0.0032720188
9,Michael Redd,MIL,28,72,21,51,37.5,22.7,7.6,17.3,44.2,1.8,5,36.2,5.6,6.8,82,1.2,3.1,4.3,3.4,2.5,0.9,0.2,1.7,33.7,2,0,-5.1,14520000,0.002904
10,Richard Jefferson,NJN,28,82,34,48,39,22.6,7.5,16.2,46.6,0.9,2.6,36.2,6.6,8.3,79.8,1.1,3,4.2,3.1,2.4,0.9,0.3,2.7,33.4,2,0,-3.7,12200000,0.00244
11,Chris Bosh,TOR,24,67,37,30,36.2,22.3,7.6,15.3,49.4,0.1,0.4,40,7,8.3,84.4,2.6,6.1,8.7,2.6,2.3,0.9,1,2.3,40.1,28,0,5.4,13041250,0.00260825
12,Corey Maggette,LAC,28,70,21,49,35.7,22.1,6.5,14.3,45.8,1.1,2.9,38.4,7.9,9.7,81.2,1.1,4.5,5.6,2.7,2.8,1,0.1,3,33.5,6,0,-3.4,7000000,0.0014
13,Yao Ming,HOU,27,55,36,19,37.2,22,7.9,15.5,50.7,0,0,0,6.3,7.4,85,3.1,7.7,10.8,2.3,3.3,0.5,2,3.1,42.6,33,0,3.5,13762775,0.002752555
14,Baron Davis,GSW,29,82,48,34,39,21.8,7.9,18.6,42.6,2.1,6.4,33,3.9,5.2,75,1.2,3.5,4.7,7.6,2.8,2.3,0.5,3,44.6,18,3,3,16440000,0.003288
15,Jason Richardson,CHA,27,82,32,50,38.4,21.8,7.9,17.9,44.1,3,7.3,40.6,3,4,75.2,1,4.4,5.4,3.1,2,1.4,0.7,2.9,37.3,5,0,-2.8,11111110,0.002222222
16,Joe Johnson,ATL,27,82,37,45,40.8,21.7,7.9,18.3,43.2,2.1,5.4,38.1,3.9,4.6,83.4,1,3.5,4.5,5.8,2.7,1,0.2,2,36.7,9,0,-0.2,13488378,0.0026976756
17,Tracy Mcgrady,HOU,29,66,46,20,37,21.6,8.3,19.8,41.9,1.3,4.5,29.2,3.7,5.4,68.4,0.6,4.5,5.1,5.9,2.4,1,0.5,1.4,38.6,5,1,4,18257750,0.00365155
18,Antawn Jamison,WAS,32,79,41,38,38.7,21.4,7.8,17.9,43.6,1.5,4.5,33.9,4.2,5.5,76,2.7,7.5,10.2,1.5,1.4,1.3,0.4,2.5,39.8,44,0,2.5,16360094,0.0032720188
19,Vince Carter,NJN,31,76,34,42,38.9,21.3,7.7,16.9,45.6,1.3,3.6,35.9,4.6,5.6,81.6,1.5,4.5,6,5.1,2.4,1.2,0.4,3.2,38.8,9,0,-1.5,13325000,0.002665
20,Carlos Boozer,UTA,26,81,53,28,34.9,21.1,8.8,16,54.7,0,0,0,3.6,4.9,73.8,2.4,8,10.4,2.9,2.6,1.2,0.5,3.6,40.5,51,1,5.2,11593816,0.0023187632
21,Chris Paul,NOH,23,80,55,25,37.6,21.1,7.9,16.1,48.8,1.2,3.1,36.9,4.2,4.9,85.1,0.8,3.2,4,11.6,2.5,2.7,0.1,2.3,49,56,1,6,3615960,0.000723192
22,Al Jefferson,MIN,23,82,22,60,35.6,21,8.8,17.6,50,0,0.1,0,3.5,4.8,72.1,3.8,7.4,11.1,1.4,2,0.9,1.5,2.7,41.5,55,0,-6.7,2480885,0.000496177
23,Dwight Howard,ORL,22,82,52,30,37.7,20.7,7.1,11.9,59.9,0,0,0,6.5,10.9,59,3.4,10.8,14.2,1.3,3.2,0.9,2.1,3.3,45.6,69,0,5.9,6061274,0.0012122548
24,David West,NOH,27,76,52,24,37.8,20.6,8.3,17.2,48.2,0.1,0.3,24,3.9,4.6,85,2.4,6.5,8.9,2.3,2.2,0.8,1.3,2.7,38.9,29,0,5.4,10650000,0.00213
25,Jamal Crawford,NYK,28,80,23,57,39.9,20.6,7.1,17.4,41,2.2,6.2,35.6,4.1,4.8,86.4,0.5,2.1,2.6,5,2.4,1,0.2,1.8,32.4,0,0,-4.3,7920000,0.001584
