Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
1,Shai Gilgeous-Alexander,OKC,26,76,63,13,34.2,32.7,11.3,21.8,51.9,2.1,5.7,37.5,7.9,8.8,89.8,0.9,4.1,5,6.4,2.4,1.7,1,2.2,54.1,6,0,12.1,35859950,0.005976658333
2,Giannis Antetokounmpo,MIL,30,67,40,27,34.2,30.4,11.8,19.7,60.1,0.2,0.9,22.2,6.5,10.6,61.7,2.2,9.7,11.9,6.5,3.1,0.9,1.2,2.3,57.4,55,11,5,48787676,0.008131279333
3,Nikola Jokić,DEN,30,70,46,24,36.7,29.6,11.2,19.5,57.6,2,4.7,41.7,5.2,6.4,80,2.9,9.9,12.7,10.2,3.3,1.8,0.6,2.3,64.3,59,34,8.5,,
4,Luka Dončić,LAL,26,50,31,19,35.4,28.2,9.2,20.5,45,3.5,9.6,36.8,6.2,7.9,78.2,0.8,7.4,8.2,7.7,3.6,1.8,0.4,2.5,52.5,21,5,6.9,,
5,Anthony Edwards,MIN,23,79,48,31,36.3,27.6,9.1,20.4,44.7,4.1,10.3,39.5,5.3,6.3,83.7,0.8,4.9,5.7,4.5,3.2,1.2,0.6,1.9,43.4,7,0,3.7,42176400,0.0070294
6,Jayson Tatum,BOS,27,72,53,19,36.4,26.8,9.2,20.3,45.2,3.5,10.1,34.3,5,6.1,81.4,0.7,8,8.7,6,2.9,1.1,0.5,2.2,48,31,2,7.4,34848340,0.005808056667
7,Kevin Durant,PHX,36,62,33,29,36.5,26.6,9.5,18.1,52.7,2.6,6,43,4.9,5.8,83.9,0.4,5.7,6,4.2,3.1,0.8,1.2,1.7,43.2,5,0,-0.6,51179021,0.008529836833
8,Tyrese Maxey,PHI,24,52,20,32,37.7,26.3,9.2,21,43.7,3.1,9.2,33.7,4.9,5.6,87.9,0.3,3.1,3.3,6.1,2.4,1.8,0.4,2.2,43.6,8,1,-2.4,35147000,0.005857833333
9,Cade Cunningham,DET,23,70,38,32,35,26.1,9.8,20.8,46.9,2.1,6,35.6,4.5,5.3,84.6,0.8,5.3,6.1,9.1,4.4,1,0.8,2.8,48,31,9,2.5,13940658,0.002323443
10,Jalen Brunson,NYK,28,65,40,25,35.4,26,9,18.5,48.8,2.3,6.1,38.3,5.7,6.9,82.1,0.4,2.5,2.9,7.3,2.5,0.9,0.1,2.1,41,14,0,2.2,24960001,0.004160000167
11,Paolo Banchero,ORL,22,46,21,25,34.4,25.9,9,19.8,45.2,1.9,5.9,32,6.1,8.4,72.7,1.1,6.4,7.5,4.8,3,0.8,0.6,2.1,43.3,11,0,-0.5,12160800,0.0020268
12,Devin Booker,PHX,28,75,35,40,37.3,25.6,8.7,18.9,46.1,2.4,7.3,33.2,5.8,6.4,89.4,1,3.1,4.1,7.1,2.9,0.9,0.2,2.6,41.5,16,0,-2.4,49205800,0.008200966667
13,LaMelo Ball,CHA,23,47,16,31,32,25.2,8.6,21.3,40.5,3.8,11.2,33.9,4.1,4.9,84.3,1,3.9,4.9,7.4,3.6,1.1,0.3,3.3,42.9,13,0,-2.8,35147000,0.005857833333
14,Damian Lillard,MIL,34,58,32,26,36.1,24.9,7.7,17.1,44.8,3.4,9,37.6,6.2,6.8,92.1,0.5,4.2,4.7,7.1,2.8,1.2,0.2,1.7,42.5,14,2,0.9,48787676,0.008131279333
15,Anthony Davis,DAL,32,51,30,21,33.4,24.7,9.2,17.8,51.6,0.7,2.4,28.2,5.6,7.2,77.5,2.6,8.9,11.6,3.5,2.2,1.2,2.2,1.9,51.7,36,1,0.5,43219440,0.00720324
16,Kyrie Irving,DAL,33,50,28,22,36.1,24.7,8.9,18.9,47.3,2.9,7.2,40.1,3.9,4.3,91.6,1.2,3.6,4.8,4.6,2.2,1.3,0.5,2,40.5,0,0,2.5,41000000,0.006833333333
17,Zion Williamson,NOP,24,30,10,20,28.6,24.6,9.6,16.9,56.7,0.1,0.4,23.1,5.3,8,65.6,2.5,4.7,7.2,5.3,3,1.2,0.9,2.7,44.6,8,2,-1.4,36725670,0.006120945
18,Stephen Curry,GSW,37,70,41,29,32.2,24.5,8.1,18,44.8,4.4,11.2,39.7,4,4.3,93.3,0.6,3.9,4.4,6,2.9,1.1,0.4,1.4,40.7,9,0,4.3,55761216,0.009293536
19,Karl-Anthony Towns,NYK,29,72,46,26,35,24.4,8.9,16.9,52.6,2,4.7,42,4.7,5.7,82.9,2.9,9.8,12.8,3.1,2.7,1,0.7,3.5,46.8,58,1,5.3,49205800,0.008200966667
20,LeBron James,LAL,40,70,44,26,34.9,24.4,9.3,18.1,51.3,2.1,5.7,37.6,3.7,4.7,78.2,1,6.8,7.8,8.2,3.7,1,0.6,1.4,47.1,32,10,-0.8,48728845,0.008121474167
21,Victor Wembanyama,SAS,21,46,21,25,33.2,24.3,8.9,18.6,47.6,3.1,8.8,35.2,3.4,4.1,83.6,1.8,9.2,11,3.7,3.2,1.1,3.8,2.3,54.6,28,1,2.2,12768960,0.00212816
22,Trae Young,ATL,26,76,36,40,36,24.2,7.4,18.1,41.1,2.9,8.4,34,6.5,7.4,87.5,0.5,2.6,3.1,11.6,4.7,1.2,0.2,1.9,44.7,51,0,0.4,43031940,0.00717199
23,Franz Wagner,ORL,23,60,33,27,33.7,24.2,9,19.4,46.3,1.7,5.9,29.5,4.5,5.2,87.1,0.9,4.8,5.7,4.7,2.3,1.3,0.4,2.5,40.6,3,0,4.1,7007092,0.001167848667
24,Cam Thomas,BKN,23,25,8,17,31.2,24,8,18.2,43.8,2.7,7.8,34.9,5.3,6,88.1,0.6,2.7,3.3,3.8,2.5,0.6,0.1,1.8,33.1,1,0,-3.7,4041249,0.0006735415
25,Donovan Mitchell,CLE,28,71,55,16,31.4,24,8.2,18.6,44.3,3.3,8.9,36.8,4.2,5.1,82.3,0.8,3.7,4.5,5,2.1,1.3,0.2,2,39.5,6,0,7.4,35410310,0.005901718333
26,Tyler Herro,MIA,25,77,37,40,35.4,23.9,8.5,17.9,47.2,3.3,8.7,37.5,3.7,4.2,87.8,0.5,4.7,5.2,5.5,2.6,0.9,0.2,1.1,39.2,9,0,1.3,29000000,0.004833333333
27,Joel Embiid,PHI,31,19,8,11,30.2,23.8,7.4,16.6,44.4,1.2,4.1,29.9,7.8,8.9,88.2,1.9,6.3,8.2,4.5,3.3,0.7,0.9,2.2,42.1,7,1,-3,51415938,0.008569323
