PLAYER,Season,Tier,Performance_Index,SALARY,Predicted_Salary,Salary_Diff,Payment_Status
Kobe Bryant,2012-2013,1,100.0,30453805.0,29270268.0,1183537.0,Underpaid
Shaquille O'Neal,2004-2005,1,99.98,29464000.0,29034648.0,429352.0,Underpaid
Kevin Garnett,2003-2004,1,99.96,28000000.0,27122946.0,877054.0,Underpaid
Kobe Bryant,2011-2012,1,99.94,25244493.0,25093300.0,151193.0,Underpaid
Kevin Garnett,2008-2009,1,99.92,24751934.0,24395808.0,356126.0,Underpaid
Kobe Bryant,2010-2011,1,99.91,24806250.0,23998772.0,807478.0,Underpaid
Kobe Bryant,2014-2015,1,99.89,23500000.0,23201348.0,298652.0,Underpaid
Shaquille O'Neal,2002-2003,1,99.87,23571000.0,23169712.0,401288.0,Underpaid
Shaquille O'Neal,2003-2004,1,99.85,26571000.0,23064880.0,3506120.0,Underpaid
Kevin Garnett,2007-2008,1,99.83,23751934.0,23042762.0,709172.0,Underpaid
Kobe Bryant,2009-2010,1,99.81,23034375.0,22871144.0,163231.0,Underpaid
Shaquille O'Neal,2001-2002,1,99.79,21428000.0,21808404.0,-380404.0,Overpaid
Tim Duncan,2009-2010,1,99.77,22183220.0,21304286.0,878934.0,Underpaid
Joe Johnson,2014-2015,1,99.75,23180790.0,21291002.0,1889788.0,Underpaid
Kevin Garnett,2001-2002,1,99.73,22400000.0,21275490.0,1124510.0,Underpaid
Kobe Bryant,2008-2009,1,99.72,21262500.0,21180256.0,82244.0,Underpaid
Dwight Howard,2014-2015,1,99.7,21436271.0,21112336.0,323935.0,Underpaid
Tim Duncan,2011-2012,1,99.68,21164619.0,21072576.0,92043.0,Underpaid
Kevin Garnett,2006-2007,1,99.66,21000000.0,20976192.0,23808.0,Underpaid
Carmelo Anthony,2013-2014,1,99.64,21388953.0,20904120.0,484833.0,Underpaid
Shaquille O'Neal,2007-2008,1,99.62,21000000.0,20714980.0,285020.0,Underpaid
Tim Duncan,2008-2009,1,99.6,20598704.0,20666068.0,-67364.0,Overpaid
Jason Kidd,2008-2009,1,99.58,21372000.0,20551252.0,820748.0,Underpaid
Shaquille O'Neal,2006-2007,1,99.56,20000000.0,20479118.0,-479118.0,Overpaid
Shaquille O'Neal,2009-2010,1,99.54,21000000.0,20455332.0,544668.0,Underpaid
Dwight Howard,2013-2014,1,99.53,20513178.0,20368380.0,144798.0,Underpaid
Chris Bosh,2014-2015,1,99.51,20644400.0,20254734.0,389666.0,Underpaid
Kevin Garnett,2011-2012,1,99.49,21247044.0,20248362.0,998682.0,Underpaid
Joe Johnson,2013-2014,1,99.47,21466718.0,20212072.0,1254646.0,Underpaid
Allen Iverson,2008-2009,1,99.45,20840625.0,20125268.0,715357.0,Underpaid
Tracy Mcgrady,2008-2009,1,99.43,20370437.0,20101840.0,268597.0,Underpaid
Jermaine O'Neal,2009-2010,1,99.41,23016000.0,20062832.0,2953168.0,Underpaid
Shaquille O'Neal,2005-2006,1,99.39,20000000.0,19867096.0,132904.0,Underpaid
LeBron James,2014-2015,1,99.37,20644400.0,19848398.0,796002.0,Underpaid
Tracy McGrady,2009-2010,1,99.36,22843124.0,19812120.0,3031004.0,Underpaid
Chris Paul,2014-2015,1,99.34,20068563.0,19676662.0,391901.0,Underpaid
Juwan Howard,2002-2003,1,99.32,20625000.0,19483362.0,1141638.0,Underpaid
Kobe Bryant,2007-2008,1,99.3,19490625.0,19351634.0,138991.0,Underpaid
Dwyane Wade,2010-2011,1,99.28,14200000.0,19227436.0,-5027436.0,Overpaid
Rashard Lewis,2011-2012,1,99.26,21136631.0,19192382.0,1944249.0,Underpaid
LeBron James,2012-2013,1,99.24,19067500.0,19177826.0,-110326.0,Overpaid
Chris Webber,2005-2006,1,99.22,19125000.0,19088610.0,36390.0,Underpaid
Amar'e Stoudemire,2012-2013,1,99.2,19948799.0,19043190.0,905609.0,Underpaid
Amar'E Stoudemire,2013-2014,1,99.18,21679893.0,19027472.0,2652421.0,Underpaid
Shawn Kemp,2002-2003,1,99.17,21500000.0,18955218.0,2544782.0,Underpaid
Kevin Garnett,2010-2011,1,99.15,18832044.0,18911436.0,-79392.0,Overpaid
Karl Malone,2002-2003,1,99.13,19250000.0,18907686.0,342314.0,Underpaid
Allen Iverson,2007-2008,1,99.11,19012500.0,18840436.0,172064.0,Underpaid
Lebron James,2013-2014,1,99.09,19067500.0,18838354.0,229146.0,Underpaid
Kevin Garnett,2002-2003,1,99.07,25200000.0,18779322.0,6420678.0,Underpaid
Joe Johnson,2012-2013,1,99.05,19752645.0,18755554.0,997091.0,Underpaid
Dikembe Mutombo,2004-2005,1,99.03,19684000.0,18724600.0,959400.0,Underpaid
Tim Duncan,2007-2008,1,99.01,19014188.0,18694734.0,319454.0,Underpaid
Shaquille O'Neal,2008-2009,1,99.0,21000000.0,18683022.0,2316978.0,Underpaid
Kevin Durant,2014-2015,1,98.98,18995624.0,18618978.0,376646.0,Underpaid
