PLAYER,Season,Tier,Performance_Index
a'ja wilson,2024,1,100.0
jewell loyd,2023,1,93.74
arike ogunbowale,2024,1,92.65
a'ja wilson,2025,1,91.55
breanna stewart,2023,1,90.24
tina charles,2021,1,90.1
napheesa collier,2025,1,89.69
napheesa collier,2023,1,87.66
arike ogunbowale,2023,1,87.62
a'ja wilson,2023,1,87.34
breanna stewart,2021,1,86.14
caitlin clark,2024,1,85.71
napheesa collier,2024,1,85.39
brittney griner,2021,1,85.19
breanna stewart,2024,1,85.16
jewell loyd,2024,1,84.85
breanna stewart,2022,1,84.7
a'ja wilson,2021,1,83.4
nneka ogwumike,2023,1,83.22
skylar diggins,2022,1,83.05
kahleah copper,2024,1,82.84
kelsey plum,2025,1,82.8
paige bueckers,2025,1,82.65
sabrina ionescu,2025,1,82.46
satou sabally,2023,1,82.32
sabrina ionescu,2022,1,82.16
a'ja wilson,2022,1,81.5
jonquel jones,2021,1,81.46
sabrina ionescu,2024,1,80.72
breanna stewart,2025,1,79.36
kelsey plum,2023,1,79.24
arike ogunbowale,2021,1,79.23
kelsey plum,2022,1,79.22
jewell loyd,2021,1,79.01
napheesa collier,2021,1,78.83
kelsey mitchell,2021,1,78.53
rhyne howard,2025,1,78.51
nneka ogwumike,2024,1,78.15
arike ogunbowale,2022,1,78.15
nneka ogwumike,2022,1,77.83
nneka ogwumike,2025,1,77.44
kelsey mitchell,2022,1,77.34
natasha howard,2023,1,77.33
kelsey plum,2024,1,77.2
dewanna bonner,2023,1,76.83
dewanna bonner,2021,1,76.83
allisha gray,2025,1,76.83
kelsey mitchell,2024,1,76.64
kelsey mitchell,2025,1,76.49
kahleah copper,2023,1,75.97
diana taurasi,2022,1,75.96
rhyne howard,2023,1,75.66
sabrina ionescu,2023,1,75.64
jackie young,2025,2,75.5
tina charles,2025,2,75.43
skylar diggins,2021,2,75.4
allisha gray,2023,2,75.35
kelsey mitchell,2023,2,75.35
rhyne howard,2024,2,75.32
jackie young,2023,2,75.26
jewell loyd,2022,2,75.14
alyssa thomas,2023,2,75.02
betnijah laney-hamilton,2021,2,75.0
chelsea gray,2023,2,74.82
jackie young,2024,2,74.45
skylar diggins,2024,2,74.2
jackie young,2022,2,73.79
brittney griner,2024,2,73.73
brittney griner,2023,2,73.56
marina mabrey,2025,2,73.52
dewanna bonner,2024,2,73.31
rhyne howard,2022,2,73.17
brittney sykes,2023,2,72.82
sylvia fowles,2021,2,72.7
tina charles,2024,2,72.35
satou sabally,2025,2,72.33
sonia citron,2025,2,72.24
ariel atkins,2021,2,72.14
dearica hamby,2024,2,71.95
tina charles,2022,2,71.76
tina charles,2022,2,71.76
cheyenne parker-tyus,2023,2,71.47
chelsea gray,2022,2,71.47
kayla mcbride,2024,2,71.46
kelsey plum,2021,2,71.37
natasha cloud,2023,2,71.34
jordin canada,2023,2,71.32
courtney williams,2021,2,71.02
dearica hamby,2025,2,71.0
angel reese,2024,2,70.82
allisha gray,2024,2,70.81
ariel atkins,2024,2,70.76
kayla mcbride,2021,2,70.71
rickea jackson,2025,2,70.66
kayla mcbride,2025,2,70.65
kayla mcbride,2023,2,70.52
courtney williams,2025,2,70.37
marina mabrey,2023,2,70.33
diana taurasi,2024,2,70.26
chennedy carter,2024,2,70.24
alyssa thomas,2025,2,70.23
aliyah boston,2025,2,70.11
skylar diggins,2025,2,70.08
brionna jones,2021,2,69.85
kayla mcbride,2022,2,69.69
kahleah copper,2021,3,69.61
ariel atkins,2022,3,69.53
sabrina ionescu,2021,3,69.51
aerial powers,2022,3,69.41
kahleah copper,2022,3,69.25
candace parker,2022,3,69.23
ezi magbegor,2024,3,69.23
erica wheeler,2021,3,69.02
jonquel jones,2024,3,68.97
natasha howard,2022,3,68.75
jonquel jones,2022,3,68.71
brittney sykes,2025,3,68.44
